STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/11/2006,0,,80,64
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/12/2006,0,,79,61
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/13/2006,0,,83,60
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/14/2006,0,,82,64
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/15/2006,0.01,,81,70
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/16/2006,0,,83,66
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/17/2006,0,,84,68
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/18/2006,0,,81,67
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/19/2006,0,,81,66
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/20/2006,0.13,,91,73
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/21/2006,0,,88,69
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/22/2006,0,,83,69
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/23/2006,0,,89,68
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/24/2006,0,,80,69
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/25/2006,0.01,,78,68
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/26/2006,0.56,,71,65
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/27/2006,0.23,,74,66
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/28/2006,0.41,,79,71
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/29/2006,0.48,,72,65
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/30/2006,0.05,,76,64
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",8/31/2006,0,,73,62
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/1/2006,0.07,,70,60
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/2/2006,0.28,,69,60
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/3/2006,0,,78,64
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/4/2006,0,,79,62
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/5/2006,0.4,,71,62
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/6/2006,0,,76,62
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/7/2006,0,,80,61
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/8/2006,0,,80,64
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/9/2006,0,,81,66
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/10/2006,0,,74,60
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/11/2006,0,,71,55
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/12/2006,0,,70,51
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/13/2006,0,,71,56
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/14/2006,0.59,,69,65
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/15/2006,0.93,,68,66
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/16/2006,0,,79,64
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/17/2006,0,,81,64
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/18/2006,0,,78,63
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/19/2006,0.04,,77,67
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/20/2006,0,,72,58
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/21/2006,0,,70,52
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/22/2006,0,,70,50
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/23/2006,0.22,,76,65
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/24/2006,0,,82,67
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/25/2006,0,,73,63
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/26/2006,0,,73,58
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/27/2006,0,,73,55
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/28/2006,0,,73,58
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/29/2006,0.05,,68,54
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",9/30/2006,0,,67,49
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/1/2006,0.25,,69,57
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/2/2006,0,,71,55
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/3/2006,0,,75,52
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/4/2006,0.68,,74,62
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/5/2006,0.15,,67,53
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/6/2006,0.02,,58,53
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/7/2006,0,,64,52
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/8/2006,0,,66,50
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/9/2006,0,,74,53
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/10/2006,0,,76,57
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/11/2006,0.79,,64,59
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/12/2006,0.16,,70,50
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/13/2006,0,,55,41
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/14/2006,0,,60,44
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/15/2006,0,,59,42
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/16/2006,0,,60,39
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/17/2006,1.03,,63,55
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/18/2006,0,,75,62
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/19/2006,0.08,,67,55
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/20/2006,0.3,,66,47
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/21/2006,0,,59,45
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/22/2006,0,,61,41
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/23/2006,0,,57,45
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/24/2006,0,,53,42
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/25/2006,0,,56,43
USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",10/26/2006,0,,52,39
